Glass Transition Temperature,Stress Recovery,Smiles 1,Smiles 2,Smiles 3
72,25.4,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(COCC1CO1)COCC2CO2,CC(N)COCC(C)OCC(C)OCC(C)N
80,23.46,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(COCC1CO1)COCC2CO2,CC(N)COCC(C)OCC(C)OCC(C)N
85,21.76,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(COCC1CO1)COCC2CO2,CC(N)COCC(C)OCC(C)OCC(C)N
92,32.98,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(COCC1CO1)COCC2CO2,CC(N)COCC(C)OCC(C)OCC(C)N
120,54.92,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(COCC1CO1)COCC2CO2,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5CN(c4ccccc4)COc5c6
51,39.04,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C)(COCC1CO1)COCC2CO2,
88,80.76,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C)(COCC1CO1)COCC2CO2,
140,171.97,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C)(COCC1CO1)COCC2CO2,
135,54.26,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,CC2=CCC1C(=O)OC(=O)C1C2,
36.5,10.04,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N,NCCOCCOCCN
